title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName,applyType
Aviation Security Officer - Load Assistant,Bidfood,Fixed term part time opportunities available for Load Assistants based at Christchurch Airport with full training provided.,https://www.seek.co.nz/job/82602161?type=standard&ref=search-standalone&origin=cardTitle#sol=8993e5adda36472f5ebf64802cd4a79ba0e22162,6d ago,,,Wellington Central,Wellington,,2025-03-13,,,Apply
Warehouse Store Person,HRB Jacobi Ltd,Are you a motivated and detail oriented warehouse store person? Come join our dynamic warehouse team.,https://www.seek.co.nz/job/82297991?type=standard&ref=search-standalone&origin=cardTitle#sol=eae4d5b796c7cff4f2e316fa6841c447626d58e1,17d ago,,,Wellington Central,Wellington,,2025-03-13,,,Apply
Warehouse assistant,Parceline Express Ltd,"Opportunity for person looking for flexible hours working in newly refurbished building. Carpark, pet friendly by arrangement. Growth opportunity.",https://www.seek.co.nz/job/82593208?type=standard&ref=search-standalone&origin=cardTitle#sol=8a86aa77ca82d7eecaf8cf14371f713d3525a9a0,7d ago,,,Wellington Central,Wellington,,2025-03-13,,,Quick Apply
Freight Handler,European Motor Distributors Limited,"Enjoy a rewarding night shift, work in a supportive team, and grow your skills with Parceline!",https://www.seek.co.nz/job/82728515?type=standard&ref=search-standalone&origin=cardTitle#sol=48b5d3f6798aa3b0879e19504fa91d3b4d430019,1d ago,,,Wellington Central,Wellington,,2025-03-13,,,Apply
Warehouse Assistant,,Join European Motor Distributors as a Warehouse Assistant in our brand-new warehouse!,https://www.seek.co.nz/job/82667751?type=standard&ref=search-standalone&origin=cardTitle#sol=e1a6f99595738ea0f377634ea7fa8f1ff0fd8f1e,3d ago,,,Wellington Central,Wellington,,2025-03-13,,,Apply
"Sales Professional | Westside",West Auckland Trust Services,Join our Super Liquor Westside store and unleash your sales talent in an environment where success is rewarded!,https://www.seek.co.nz/job/82075108?type=standard&ref=search-standalone&origin=cardTitle#sol=ec8506855723373eccb60853e8e31edaac8b272c,27d ago,,,Henderson,Auckland,Great hourly rate and Benefits!,2025-03-13,,,Quick Apply
Factory Worker,Bata Company NZ Ltd,Seeking a Factory worker to join our small team at Bata NZ Competitive wage plus bonuses and other benefits,https://www.seek.co.nz/job/82559155?type=standard&ref=search-standalone&origin=cardTitle#sol=bfde725e744ee5db4a4bb01cf2f0d1cc571deacf,8d ago,,,Henderson,Auckland,$25 – $26 per hour,2025-03-13,,,Quick Apply
"CUSTOMER SERVICE ADMINISTRATOR | So much variety",Source & Select Recruitment NZ Ltd,This is a vital role. The face & the voice of the company. Providing an exceptional customer service experience.,https://www.seek.co.nz/job/82526775?type=standard&ref=search-standalone&origin=cardTitle#sol=b94db73510c97bc97c78efb36b9ea6f9ceeae950,9d ago,,,Henderson,Auckland,$60 - 65k (based on exp),2025-03-13,,,Quick Apply
Online Driver - 4 days on/3 off in a row,New World,Online Driver - 4 days on/3 off in a row,https://www.seek.co.nz/job/82294590?type=standard&ref=search-standalone&origin=cardTitle#sol=28fa3ae1c51b00efc12c6f72b2d0a5069e3526f3,17d ago,,,Henderson,Auckland,Competitive wages + discretionary bonus,2025-03-13,,,Apply
Warehouse & Customer Service Assistant - Albany,Anzor Fasteners,"Learn the art of warehousing, customer service, and the mechanical properties of stainless steel fasteners in our great supportive Albany team",https://www.seek.co.nz/job/82563157?type=standard&ref=search-standalone&origin=cardTitle#sol=e1bd6b397862b78f5018fd636499a0b395ecca7d,7d ago,,,Henderson,Auckland,"$60,000 - $65,000",2025-03-13,,,Apply
Marketing & Digital Assistant,Deadly Ponies,"As a Marketing & Digital Assistant, you will be responsible for creating engaging, digital-first content that connects with audiences worldwide.",https://www.seek.co.nz/job/82358710?type=standard&ref=search-standalone&origin=cardTitle#sol=3ea52102b8489be0ad9195448fefcd6021763002,16d ago,,,Henderson,Auckland,$23 – $26 per hour,2025-03-13,,,Quick Apply
Enrolment Processing Officer,Electoral Commission,A rare opportunity to join a supportive and fun team delivering varied and interesting work!,https://www.seek.co.nz/job/82683768?type=standard&ref=search-standalone&origin=cardTitle#sol=02c3abdd2456afe1f7e1a5e0988a85d9efca429e,2d ago,,,Henderson,Auckland,Great hourly rate and corporate benefits,2025-03-13,,,Apply
