title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName
Cyber Security Analyst,New Zealand Police,We have an opportunity for an individual who has the drive and determination to ensure that Police operates safely and successfully.,https://www.seek.co.nz/job/82370994?type=standard&ref=search-standalone&origin=cardTitle#sol=2b474e74df8281e55a6b3e2b69783118a21fde99,1mo ago,,,,,"$80,000 – $100,000 pro rata (part time)",13/03/2025,,Wellington
Senior Calibration Technician,ESR,We have a permanent part-time opportunity (0.6FTE) for a Senior Technician to calibrate a range of laboratory equipment.,https://www.seek.co.nz/job/82735117?type=standard&ref=search-standalone&origin=cardTitle#sol=14e5e21c16b753e66bf7949a56f0ddc1be96445e,21d ago,,,,,$30 – $32 per hour,13/03/2025,,Wellington
Service Desk Analyst,Randstad - Business Support,"Join our team as a Helpdesk Analyst! Provide IT support, manage systems, and make an impact in a dynamic, values-driven organization.",https://www.seek.co.nz/job/82009801?type=standard&ref=search-standalone&origin=cardTitle#sol=458d1634ecf4c607702165618e578a165543017c,2d ago,,,,,"$60,000 – $70,000 per year",13/03/2025,,Wellington
Video Editor,Videoshop,Exciting opportunity for creative Video Editor to work on diverse marketing projects with dynamic team.,https://www.seek.co.nz/job/82224921?type=standard&ref=search-standalone&origin=cardTitle#sol=bc86c4a5622968d3a42ec81076215ec45aee46ff,17h ago,,,,,,13/03/2025,,Wellington
Senior Digital Marketing Executive,Werk Agency,"We're Hiring: Senior Marketing Executive! Join Werk Agency to craft high-performing campaigns, optimize media buys & drive results. Apply now!",https://www.seek.co.nz/job/82668843?type=standard&ref=search-standalone&origin=cardTitle#sol=3a856524e5b2482e16eb7818b842146ae0927d88,6d ago,,,,,,13/03/2025,,Wellington
Senior Campaign Manager,Silvereye Communications,We are seeking an experienced Senior Campaign Manager to oversee and manage a national language week that has been running for over 10 years.,https://www.seek.co.nz/job/82737248?type=standard&ref=search-standalone&origin=cardTitle#sol=93187709877392256369e1bbcabc1db556e857d2,24d ago,,,,,,13/03/2025,,Wellington
Marketing Coordinator,Village Accommodation Group,Come and join our fun team and get to showcase your marketing expertise and creativity,https://www.seek.co.nz/job/82606068?type=standard&ref=search-standalone&origin=cardTitle#sol=78bad29d30b50e017a84d89d853a03fb2fb738cd,22d ago,,,,,,13/03/2025,,Wellington
Staff Scientist - RNA Platform,Malaghan Institute of Medical Research,"Seeking a driven, dedicated, and high-performing staff scientist to join our Team. Providing support to our RNA Platform carrying out RNA synthesis.",https://www.seek.co.nz/job/82117030?type=standard&ref=search-standalone&origin=cardTitle#sol=131eeb7bbe208dcc111be58278f34bd9afa00ff6,1d ago,,,,,,13/03/2025,,Wellington
Cloud Support Engineer,TMG Cloudland,IT Support role in a nationwide business with a focus on supporting predominately primary health organisations with a huge opportunity to grow!,https://www.seek.co.nz/job/82191563?type=standard&ref=search-standalone&origin=cardTitle#sol=a0dd9efc65cffb5d2b21d502cf151498de9e8096,9d ago,,,,,,13/03/2025,,Wellington
Marketing Lead,vtnz,We are looking for a talented and driven Marketing Lead to help grow the VTNZ brand nationwide.,https://www.seek.co.nz/job/82702437?type=standard&ref=search-standalone&origin=cardTitle#sol=51d6fc4620ce29ac130097cbf52b7e0ecb0a9be9,10d ago,,,,,,13/03/2025,,Wellington
Reporting and Data Analyst,Your Way | Kia Roha,We are looking for a Reporting and Data Analyst to be our go-to-person for reporting and data analysis across our organisation.,https://www.seek.co.nz/job/82497846?type=standard&ref=search-standalone&origin=cardTitle#sol=797d52089277f180d17d9e251c8ada721e184bcc,3d ago,,,,,,13/03/2025,,Wellington
Training and Events Administrator,The Building Officials Institute of New Zealand,"Join our team bringing with you a unique blend of marketing, communication and administration skills.",https://www.seek.co.nz/job/82472721?type=standard&ref=search-standalone&origin=cardTitle#sol=24fc9bf0449448cf21bdb8d3c7e8a441af2e889a,20d ago,,,,,,13/03/2025,,Wellington
Marketing Manager,Christchurch International Airport,Drive our brand. Elevate our marketing. Lead our team,https://www.seek.co.nz/job/82641212?type=standard&ref=search-standalone&origin=cardTitle#sol=7238c784a9e5545f3388285a158e5a7a458cf381,2d ago,,,,,,13/03/2025,,Wellington
Marketing & Communications Manager,Wellington Zoo Trust,A true broad-spectrum position with endless stories and amazing content.,https://www.seek.co.nz/job/82244573?type=standard&ref=search-standalone&origin=cardTitle#sol=a1876e3a43113f7fe1ab2f2d72960a05ec0fd2fa,27d ago,,,,,,13/03/2025,,Wellington
Marketing Communications and Engagement Advisor,Wellington Water Limited,Use your understanding of marketing analytics and data to drive behavior change campaigns for Water services to the Wellington Region.,https://www.seek.co.nz/job/82675298?type=standard&ref=search-standalone&origin=cardTitle#sol=4bf684ff1212237fc6e9276adb03ee6bfe4b5b9a,,,,,,,13/03/2025,,Wellington
Service Desk Analyst,Ohnyx IT Solutions Ltd,Excellent position for someone wanting to get into IT and be part of a growing business.,https://www.seek.co.nz/job/82098406?type=standard&ref=search-standalone&origin=cardTitle#sol=c9bae7c0d370e4db8b51a1f48e27282503a799f7,,,,,,,13/03/2025,,Wellington
R&D Food Technologist,Groenz,Are you a creative Food Technologist who is passionate about food and developing new products?,https://www.seek.co.nz/job/82392264?type=promoted&ref=search-standalone&origin=cardTitle#sol=9aa982cd40119fc7147943951d622a24d0151bf9,6d ago,,,,,"80,000 - 100,000 + Project Bonuses",13/03/2025,,Wellington
Service Desk Analyst,Spark New Zealand Trading Limited,Service Desk Analyst,https://www.seek.co.nz/job/82468220?type=promoted&ref=search-standalone&origin=cardTitle#sol=b8b7ed6d5e36a05d8ea76cfc7720fdcc2ce5a84b,13d ago,,,,,"$95,000 – $130,000 per year",13/03/2025,,Wellington
Policy and Communications Advisor (6-Month Fixed Term),Ia Ara Aotearoa Transporting New Zealand,"Join our small, dynamic team! Research, shape policy, and engage members. A hands-on role where your work makes a real impact.",https://www.seek.co.nz/job/82601079?type=standard&ref=search-standalone&origin=cardTitle#sol=adca0f5d7704a13e67a2784ffccb5c365501ad89,3d ago,,,,,"$203,235 to $263,010 per annum",13/03/2025,,Wellington
Marketing Manager - B2B - choose your hours/days,Voco Digital,"Locally owned, locally focused professional services/tech consultancy. Plenty of scope to work your marketing magic!",https://www.seek.co.nz/job/82434171?type=standard&ref=search-standalone&origin=cardTitle#sol=d63cb49ff66d162b33ccbc9133567392992eeb4f,8d ago,,,,,$45 – $65 per hour,13/03/2025,,Wellington
Programme Co-ordinator,The Co-operative Bank,"Join our small but mighty Bank in this newly created role, helping to support the Enterprise Portfolio and Change Management team.",https://www.seek.co.nz/job/82666954?type=standard&ref=search-standalone&origin=cardTitle#sol=038d3a153e6f1dbf87ed0eb1b29fac21c9bb2214,3d ago,,,,,$73196 - $94724 p.a. + 9% superannuation contribut,13/03/2025,,Wellington
Head of Digital Products,Contact Energy,"We use cutting edge digital tools, ways of working & mindsets to challenge the status quo, and want you to help us ‘leapfrog’ our digital propositions",https://www.seek.co.nz/job/82536175?type=standard&ref=search-standalone&origin=cardTitle#sol=87c34c6a9127bf7bcd39da08f19d595ebd4c7f1f,8d ago,,,,,"$75,000 – $90,000 per year",13/03/2025,,Wellington
Senior Technician - Virology,ESR,We have an exciting opportunity for a Senior Technician to join our successful and growing Clinical Virology team within the Health Group.,https://www.seek.co.nz/job/82643960?type=standard&ref=search-standalone&origin=cardTitle#sol=a17bd25f8419ef7505765f755427201ca8bc49a8,10d ago,,,,,"$71k - $74k p.a. + $71,318 base plus $2,200 shift",13/03/2025,,Wellington
Head of Data & AI,Contact Energy,We're on the hunt for a visionary leader to be the mastermind behind our Data & AI strategy. There is real opportunity here to make an impact!,https://www.seek.co.nz/job/82535405?type=standard&ref=search-standalone&origin=cardTitle#sol=fe80b2d10b2b1c5e50fde320162a28c03b2a3052,24d ago,,,,,$73196 - $103336 p.a.,13/03/2025,,Wellington
Marketing Coordinator,One Eighty Recruitment,"Varied role across marketing, administration & client communications in property development.",https://www.seek.co.nz/job/82473234?type=standard&ref=search-standalone&origin=cardTitle#sol=8a63dc2ba6dec55e20956393b6bc98156b3842da,8d ago,,,,,,13/03/2025,,Wellington
Field Engineer,EVITHE LTD,"implementation of IT infrastructure and other related technology projects, including the ongoing support of IT infrastructure.",https://www.seek.co.nz/job/82112093?type=standard&ref=search-standalone&origin=cardTitle#sol=cbd5c3cdca42e15bb1b1850a21e766a3c411e419,27d ago,,,,,,13/03/2025,,Wellington
"Chemistry, manufacturing and controls specialist – Natural & Drug products",Arotec Diagnostics Limited,"Make a difference in CMC to and join us in the production of science based, high quality natural products innovation and commercialisation.",https://www.seek.co.nz/job/82537259?type=standard&ref=search-standalone&origin=cardTitle#sol=1eb2b69a5894e925aee12b5d429e6854980f9004,13d ago,,,,,,13/03/2025,,Wellington
Production Scientist,Victoria University of Wellington,Join AROTEC Diagnostics and make a real impact on autoimmune diagnostic healthcare while being part of an incredible award-winning organisation!,https://www.seek.co.nz/job/82071347?type=standard&ref=search-standalone&origin=cardTitle#sol=0ff3451c0ee4778cbfff25b748e835a633508264,1mo ago,,,,,,13/03/2025,,Wellington
"Manutaki | Director, Communications and Marketing",Matomo - InnoCraft,"Join us and help shape a bold new and innovative narrative for our students, staff, and wider community.",https://www.seek.co.nz/job/82432208?type=standard&ref=search-standalone&origin=cardTitle#sol=475895ffbed4d4f1e974dca7055b7d6ab19ad003,2d ago,,,,,,13/03/2025,,Wellington
"Intermediate Strategic Project Manager (100% remote, B2B Saas)","Firstgas, Rockgas & Firstlight Network","Contribute to innovative projects and grow your skills with a dynamic team. Work with us to develop a quality, reliable product for our end users.",https://www.seek.co.nz/job/81470603?type=standard&ref=search-standalone&origin=cardTitle#sol=1b0fdf24670c2593cf0a320fc817ab7d13f3451c,8d ago,,,,,,13/03/2025,,Wellington
Operations Security Analyst,Contact Energy,"Bring your tech skills to our team in Wellington or Taranaki, and grow a career in security within our flexible working environment.",https://www.seek.co.nz/job/82667140?type=standard&ref=search-standalone&origin=cardTitle#sol=861b5064a8633bba1d2df2709ca1020602c73c29,19d ago,,,,,,13/03/2025,,Wellington
Head of Strategy & Transformation,PublicVoice,"You'll develop and execute a unified Tech Strategy, including contribute to Contact31, which will guide us over the next 5 years.",https://www.seek.co.nz/job/82535091?type=standard&ref=search-standalone&origin=cardTitle#sol=1a89a4e68692c8194bd9e73b3489d302373bcfae,20d ago,,,,,,13/03/2025,,Wellington
Research & Data Analyst (Contract Positions),ACC New Zealand,Transform data into insights that shape NZ's public services. Make a meaningful impact with flexible work that matters.,https://www.seek.co.nz/job/82278007?type=standard&ref=search-standalone&origin=cardTitle#sol=f3112aa075520f09fa249c0db13ad250b35b4276,16d ago,,,,,,13/03/2025,,Wellington
Social Media Advisor,Thankyou Payroll,as the Social Media Advisor you will manage the daily operations of ACC's social media presence,https://www.seek.co.nz/job/82247926?type=standard&ref=search-standalone&origin=cardTitle#sol=df29f0e26b892e2a8e02ad39632791c9846883bc,6d ago,,,,,,13/03/2025,,Wellington
Marketing Specialist,Waka Kotahi - NZ Transport Agency,Tell the Thankyou Payroll story with creativity and boldness to help us reach more customers - enabling us to grow our impact across Aotearoa.,https://www.seek.co.nz/job/82358715?type=standard&ref=search-standalone&origin=cardTitle#sol=f8e8180eb6c1223d1a6e9c521412ae664f574d66,14h ago,,,,,,13/03/2025,,Wellington
Traffic Signals Operator,Capgemini Australia Pty Ltd,Monitor and actively manage traffic systems (SCATS and Traffic Signals) to maximise traffic safety and efficiency on NZ's roading network,https://www.seek.co.nz/job/82598876?type=standard&ref=search-standalone&origin=cardTitle#sol=71c742bc5f66d52443af50d88554b8f476a81fab,6d ago,,,,,,13/03/2025,,Wellington
Service Delivery Manager,ACC New Zealand,Join our team as a Service Delivery Manager and bring your extensive experience supporting large scale IT infrastructure and Cloud Services,https://www.seek.co.nz/job/82743454?type=standard&ref=search-standalone&origin=cardTitle#sol=11e0c2014a5b7fcf4128b16af0eaa79218f56161,,,,,,,13/03/2025,,Wellington
Communications & Engagement Advisor,,"We've got a new opportunity in our team for a smart, humble, and results focused Communications and Engagement Advisor.",https://www.seek.co.nz/job/82594724?type=standard&ref=search-standalone&origin=cardTitle#sol=4f88da6884227cc33c78e42a35b8b6e4c8ea96e8,,,,,,,13/03/2025,,Wellington
Head of Data & AI,Contact Energy,We're on the hunt for a visionary leader to be the mastermind behind our Data & AI strategy. There is real opportunity here to make an impact!,https://www.seek.co.nz/job/82535405?type=promoted&ref=search-standalone&origin=cardTitle#sol=720d6f7c5882115dd7c127f9d16226958b9ce6e7,9d ago,,,,,"$78,444 per year",13/03/2025,,Wellington
Marketing Executive,Robert Walters,"Exciting career move! We're hiring a Marketing Executive to help grow NZ's top pleasure & sexual wellness retailer, Adulttoymegastore!",https://www.seek.co.nz/job/82561814?type=promoted&ref=search-standalone&origin=cardTitle#sol=24475948320481e75f72df140af6b3b557e098d7,2d ago,,,,,Salary will be based on Experience,13/03/2025,,Wellington
Animal Technician,Malaghan Institute of Medical Research,The Malaghan Institute is seeking an energetic and caring Animal Technician to join our close-knit Biomedical Research Unit on a permanent basis.,https://www.seek.co.nz/job/82501317?type=standard&ref=search-standalone&origin=cardTitle#sol=0b6eb952c869f468a0eec6ef53dc18fa7d0a4561,9d ago,,,,,$36 – $40 per hour,13/03/2025,,Wellington
Press and Communications Attaché,Embassy of France in New Zealand,The Embassy of France in Wellington is looking for a Press and Communications Attaché to join its Press and Communications Department.,https://www.seek.co.nz/job/82678042?type=standard&ref=search-standalone&origin=cardTitle#sol=1b3a0e3a41784e7c828b190551433ca4265209fb,23d ago,,,,,Up to $115k bsse salary,13/03/2025,,Wellington
Communications Contractor,Tribe (New Zealand) Limited,We’re seeking an experienced Communications Lead to drive critical engagement and behaviour change initiatives,https://www.seek.co.nz/job/82495087?type=standard&ref=search-standalone&origin=cardTitle#sol=c9b725f969cf82a7a070cf94ab352048ce635e82,9d ago,,,,,"$90,057 – $135,086 per year",13/03/2025,,Wellington
"🚀 Marketing – Social Media, Content, Ads & Lead Gen Campaigns 🚀",Salon Owners Collective,"Join our team as a Growth Marketing Coordinator! Create dynamic content, drive lead-gen campaigns, and use AI to fuel real business growth. Apply now!",https://www.seek.co.nz/job/82150781?type=standard&ref=search-standalone&origin=cardTitle#sol=12833d2f4ac60577dc2a490f8b777fd3aa8f957b,1d ago,,,,,Competitive salary & benefits,13/03/2025,,Wellington
Telecommunications Technician,Guild and Spence Technologies Ltd,"Security, nurse call, MATV systems",https://www.seek.co.nz/job/82525483?type=standard&ref=search-standalone&origin=cardTitle#sol=50265b146bf11762d7e9725d3f81dfbde8d0e807,2d ago,,,,,"$65,000 – $75,000 per year",13/03/2025,,Wellington
Intermediate Developer,Find IT Recruitment,Opportunity to join a great team in a fast-paced environment!,https://www.seek.co.nz/job/82704292?type=standard&ref=search-standalone&origin=cardTitle#sol=e8c00f1b34f68dd943475619657b3df2a14f86a1,3d ago,,,,,Competitive salary - flexible working options,13/03/2025,,Wellington
Communications Advisor (fixed term),NZ Post Primary Teachers' Association,Contributing to the success of union campaigns through communications and website management. Using your passion to support members in their unionism.,https://www.seek.co.nz/job/82670372?type=standard&ref=search-standalone&origin=cardTitle#sol=82c8afd2c05bd6a657527efd38efa25939bf86fe,14d ago,,,,,Competitive salary + generous staff benefits!,13/03/2025,,Wellington
Analyst Developer,FNZ Services (NZ) Limited,"Join us the FinTech decacorn, building your successful career by building the world class software",https://www.seek.co.nz/job/81361890?type=standard&ref=search-standalone&origin=cardTitle#sol=be6d16dddd30e2be06581b143daaaa0bbc5ba838,24d ago,,,,,"$78,000 – $87,000 per year",13/03/2025,,Wellington
Communications Advisor,FinCap,"Communicatons Advisor - Use your storytelling skills to champion financial wellbeing, drive advocacy, and make a difference across Aotearoa.",https://www.seek.co.nz/job/82420596?type=standard&ref=search-standalone&origin=cardTitle#sol=213ea18371953716f2d94931e6c6e46ce06fd172,6d ago,,,,,Competitive salary & benefits,13/03/2025,,Wellington
Marketing and Communications Specialist,The Life Flight Trust,"Work in a supportive, high-performing team environment. Grow your marketing skills across diverse campaigns and projects. Make a real impact.",https://www.seek.co.nz/job/82113932?type=standard&ref=search-standalone&origin=cardTitle#sol=c62b521fb09560d20b267229b8bf09135336e1cf,7d ago,,,,,"$154,619 - $231,929",13/03/2025,,Wellington
Junior/Intermediate Backend Engineer | Remote-First | .NET & AWS,Talent Army - Winners of Innovation in Recruitment & Recruiter of the year 2023,"Build innovative backend solutions in a remote-first team. Work with .NET, AWS, and modern architectures. Wellington or Christchurch preference.",https://www.seek.co.nz/job/82594376?type=standard&ref=search-standalone&origin=cardTitle#sol=60d62cb4171a52eadf492461b1661dbb23d11670,14d ago,,,,,"$101,911 - $121,196",13/03/2025,,Wellington
Applications Developer,New Zealand Customs Service,"Got a passion for crafting and supporting resilient, adaptable systems in an evolving operating environment? Come join the team at NZ Customs!",https://www.seek.co.nz/job/82561464?type=standard&ref=search-standalone&origin=cardTitle#sol=7ed92dd2689bb39deb568fbc0ed1b22fd84ee333,1d ago,,,,,,13/03/2025,,Wellington
Junior DevOps Engineer,Cogito Group,"A great opportunity for those with an interest in platform design & system administration, as well as for those wanting to expand their knowledge.",https://www.seek.co.nz/job/82403579?type=standard&ref=search-standalone&origin=cardTitle#sol=c03d76906ad5076055762da2216bb72e71c02168,8d ago,,,,,,13/03/2025,,Wellington
Delivery Manager,Reason Group Limited,"Manage workflow, scoping and resourcing for one of NZ's largest independent digital agencies and truly make a difference.",https://www.seek.co.nz/job/82702898?type=standard&ref=search-standalone&origin=cardTitle#sol=ed64420ac1c362bb4b35027f7783cec71fcd5940,13d ago,,,,,,13/03/2025,,Wellington
Head of Service Experience,Massey University,Lead key Information Technology Service interactions! Drive IT service excellence and lead change at Massey University. Apply now!,https://www.seek.co.nz/job/82535820?type=standard&ref=search-standalone&origin=cardTitle#sol=f027ad022c68b2e80e5c20d965dcccb753903fd5,19h ago,,,,,,13/03/2025,,Wellington
Senior Social Media Advisor,WellingtonNZ,"Do you love social media? Know TikTok, Shorts, Reels & Threads? Do you think Wellington deserves more buzz? Bring your creativity to our dynamic team!",https://www.seek.co.nz/job/82427336?type=standard&ref=search-standalone&origin=cardTitle#sol=24ca85e56fd488bbff135cc98463cbeb615ef1f4,7d ago,,,,,,13/03/2025,,Wellington
Senior Analyst Developer,FNZ Services (NZ) Limited,"Join us the FinTech decacorn, building your successful career by building the world class software",https://www.seek.co.nz/job/81362101?type=standard&ref=search-standalone&origin=cardTitle#sol=9e841b04eb5879723bc4a56a15123a0bb97f039d,3d ago,,,,,,13/03/2025,,Wellington
Marketing Executive,Robert Walters,"Exciting career move! We're hiring a Marketing Executive to help grow NZ's top pleasure & sexual wellness retailer, Adulttoymegastore!",https://www.seek.co.nz/job/82561814?type=standard&ref=search-standalone&origin=cardTitle#sol=1037d46f71aa31581879d11ca31aa1bcc099ca47,3d ago,,,,,,13/03/2025,,Wellington
Manager Communications RDCS,"Ministry of Business, Innovation and Employment",Manage a small team of communication professionals and drive the strategic communications objectives of the RDCS Group.,https://www.seek.co.nz/job/82646464?type=standard&ref=search-standalone&origin=cardTitle#sol=354ccfeee1ccf0aae64d12fa4a22a5930cac8cef,,,,,,,13/03/2025,,Wellington
Senior Communications Advisor,"Ministry of Business, Innovation and Employment",Support a range of portfolios and functions and turn technical information into something beautiful.,https://www.seek.co.nz/job/82644068?type=standard&ref=search-standalone&origin=cardTitle#sol=56e9de25976463e46bf65e7e4ada0a4ec99d6a95,,,,,,,13/03/2025,,Wellington
Marketing Manager - B2B - choose your hours/days,Voco Digital,"Locally owned, locally focused professional services/tech consultancy. Plenty of scope to work your marketing magic!",https://www.seek.co.nz/job/82434171?type=promoted&ref=search-standalone&origin=cardTitle#sol=2dd8c1e0094232d605a8d554c6a4927eb7ef12aa,17d ago,,,,,"$74,964 to $113,953",13/03/2025,,Wellington
Test Discipline Defect Manager,ANZ Bank New Zealand Limited,"Drive defect resolution, ensure software quality, coordinate teams, and implement solutions to enhance efficiency at ANZ",https://www.seek.co.nz/job/82703177?type=promoted&ref=search-standalone&origin=cardTitle#sol=ebe2c7ca6fd180d5e8ee95787c233c48b11ebe68,2d ago,,,,,$85037 - $110k p.a. + 9% superannuation contributi,13/03/2025,,Wellington
Marketing Advisor,EarnLearn,An exciting opportunity for an experienced Marketing Advisor!,https://www.seek.co.nz/job/82289103?type=standard&ref=search-standalone&origin=cardTitle#sol=294298aca998c44c4e4468ed7e6b737717aa522d,5d ago,,,,,$101k - $121k with KiwiSaver and wellness benefits,13/03/2025,,Wellington
Adviser / Senior Adviser Regulatory and Risk Assurance,Ministry for Primary Industries,Work across the Biosecurity Import & Export directorate to ensure offshore biosecurity risk is managed.,https://www.seek.co.nz/job/82670272?type=standard&ref=search-standalone&origin=cardTitle#sol=19b331c87408355cadd72969ef1cbc6a0437c9a0,3d ago,,,,,$80k - $100k p.a. + Room for growth,13/03/2025,,Wellington
Communications Advisor - Digital,Natural Hazards Commission - Toka Tū Ake,Communications Advisor - Digital Natural Hazard Commission - Toka Tū Ake About the role | Mo te mahi We are seeking a dynamic digital communications s,https://www.seek.co.nz/job/82625336?type=standard&ref=search-standalone&origin=cardTitle#sol=3141b8ddb9810484764aa377b539b9d614e18574,15d ago,,,,,"$140,000 – $160,000 per year",13/03/2025,,Wellington
Performance / Monitoring Engineer,Expert360,"We are on the hunt for a Junior - Intermediate level SRE ideally with Splunk , ELK stack and Service Now",https://www.seek.co.nz/job/82641330?type=standard&ref=search-standalone&origin=cardTitle#sol=6ec513208ccd7b931ab6d226f4f3da7d1056995d,7d ago,,,,,"90,000-110,000",13/03/2025,,Wellington
Digital Marketing Advisor,ACC New Zealand,"As the Digital Marketing Advisor, you will Support our digital marketing strategy, enhancing our digital presence, and broader marketing initiatives.",https://www.seek.co.nz/job/82371576?type=standard&ref=search-standalone&origin=cardTitle#sol=21c9c675863a89e0d0ef42afffc2c0cf6bc92aba,3d ago,,,,,$100000.00 - $105000.00,13/03/2025,,Wellington
Data and Reporting Systems Specialist,Likemind,Data and Reporting Systems Specialist for a 12-month fixed term to collaborate with stakeholders to improve data management and analytics,https://www.seek.co.nz/job/82580777?type=standard&ref=search-standalone&origin=cardTitle#sol=9b92d45b41274c63c145841915f229e5ccc86afb,24d ago,,,,,"$55,000 – $65,000 per year",13/03/2025,,Wellington
Senior Technical Specialist,"Ministry of Business, Innovation and Employment",You will develop and maintain the applications and equipment for monitoring MBIE's critical risks and associated controls.,https://www.seek.co.nz/job/82640437?type=standard&ref=search-standalone&origin=cardTitle#sol=349ca0050b7e5c6cb8a2787398f89d5f1a7b814b,9d ago,,,,,,13/03/2025,,Wellington
"Equipment Preparation Assistant Technician (Upper Hutt, New Zealand)",Zoetis Australia Research & Manufacturing Pty Ltd,"Based in Upper Hutt, the purpose of this role is to support the efficiency & performance of the business through preparation & cleaning of equipment.",https://www.seek.co.nz/job/82115483?type=standard&ref=search-standalone&origin=cardTitle#sol=0aca6c7c08c9d44cf14bbb38209ca557e5aeee9a,1d ago,,,,,,13/03/2025,,Wellington
Information Security Consultant,Robert Walters,Our client is seeking a Junior Information Security Consultant to join their team in Wellington with 1-2 years of security experience.,https://www.seek.co.nz/job/82505159?type=standard&ref=search-standalone&origin=cardTitle#sol=afe8ab778937d6256592334f5aeddeffe2bc5aa5,15d ago,,,,,,13/03/2025,,Wellington
Director Corporate Services,Tribe (New Zealand) Limited,Our client is looking for an exceptional leader to fill the pivotal role of Director of Corporate Services,https://www.seek.co.nz/job/82704261?type=standard&ref=search-standalone&origin=cardTitle#sol=3bcc5e7fffa62ad5f6172992ede6e6afc6e952db,14d ago,,,,,,13/03/2025,,Wellington
ICT Business Analyst,WorkSafe New Zealand,Join our Digital Projects team and work on different initiatives with a variety of people across WorkSafe and our suppliers.,https://www.seek.co.nz/job/82369936?type=standard&ref=search-standalone&origin=cardTitle#sol=12b6a2f90ff43c2d02284b332268ca07f9146d8a,1d ago,,,,,,13/03/2025,,Wellington
Test Lead,ANZ Bank New Zealand Limited,"A pivotal role in the Cards Switching NZ team, responsible for enhancing the banks' card switching services",https://www.seek.co.nz/job/82400661?type=standard&ref=search-standalone&origin=cardTitle#sol=a0bebb78e92753a6b23fda14ef3222c218d90c6e,9d ago,,,,,,13/03/2025,,Wellington
Test Discipline Defect Manager,ANZ Bank New Zealand Limited,"Drive defect resolution, ensure software quality, coordinate teams, and implement solutions to enhance efficiency at ANZ",https://www.seek.co.nz/job/82703177?type=standard&ref=search-standalone&origin=cardTitle#sol=ca780a96fcc2106ce1ce0c6b10013f12b42b7422,1d ago,,,,,,13/03/2025,,Wellington
Chief Executive - Part Time,CarbonEES,We are looking for an individual with a passion for sustainability and climate change to lead our small and tightly knit team.,https://www.seek.co.nz/job/82498327?type=standard&ref=search-standalone&origin=cardTitle#sol=b41843d87715ed610b830e01aa7a1ad55922c459,9d ago,,,,,,13/03/2025,,Wellington
Senior Digital Marketing Executive,BrightSpark Recruitment,Join a successful full-service agency collaborating with some of New Zealand's most iconic brands,https://www.seek.co.nz/job/82700507?type=standard&ref=search-standalone&origin=cardTitle#sol=eded582f17fa961df7d46776ed1b816d5bb38baf,20h ago,,,,,,13/03/2025,,Wellington
Manager Technical Projects | Kaiwhakahaere Kaupapa Hangarau,Porirua City Council,"A fixed-term opportunity to make a real difference, lead a team to deliver a variety of ICT technical projects through transformation.",https://www.seek.co.nz/job/82492937?type=standard&ref=search-standalone&origin=cardTitle#sol=b80ab66d3f288ee66a8cea801e77ff5fcead1d52,8d ago,,,,,,13/03/2025,,Wellington
Software Developer,Taylor Preston Limited,"A skilled .NET Developer with experience in C#, WPF, MAUI, and SQL Server to develop, maintain, and enhance enterprise-grade applications.",https://www.seek.co.nz/job/82730937?type=standard&ref=search-standalone&origin=cardTitle#sol=b1c079ad7206765382388fadbc09efb102f8b08d,9d ago,,,,,,13/03/2025,,Wellington
Laboratory Technician / Preparation Sampler,Bureau Veritas Australia Pty Ltd,We offer you the opportunity to build your career and give you the recognition you deserve.,https://www.seek.co.nz/job/82529099?type=standard&ref=search-standalone&origin=cardTitle#sol=3e2ddc32ab9581c89426dd0593c9382575354138,1mo ago,,,,,,13/03/2025,,Wellington
Medical Lab Scientist - Biochemistry,Awanui Group,Seeking a qualified medical laboratory scientist to work in our Biochemistry Department. Full-time role working rostered shifts at Wellington Hospital,https://www.seek.co.nz/job/82496960?type=standard&ref=search-standalone&origin=cardTitle#sol=923269780ae7b5bd5b8b5438a1f8abe4f1cc1066,,,,,,,13/03/2025,,Wellington
Events & Marketing Manager,Pinot & Picasso,"Pinot and Picasso is a fun, upbeat, creative fast paced environment.",https://www.seek.co.nz/job/82038922?type=standard&ref=search-standalone&origin=cardTitle#sol=4a33ab67a20c69f7d7489b7bbe6d7ece8568dc17,,,,,,,13/03/2025,,Wellington
Intermediate Developer,Find IT Recruitment,Opportunity to join a great team in a fast-paced environment!,https://www.seek.co.nz/job/82704292?type=promoted&ref=search-standalone&origin=cardTitle#sol=a75e454c3c29392ce42c93902103c7a004d216e7,1d ago,,,,,Up to $115k bsse salary,13/03/2025,,Wellington
Head of Data & AI,Contact Energy,We're on the hunt for a visionary leader to be the mastermind behind our Data & AI strategy. There is real opportunity here to make an impact!,https://www.seek.co.nz/job/82535405?type=promoted&ref=search-standalone&origin=cardTitle#sol=f280958650d3777e9c860cc22bcb5b2eb46380c8,2d ago,,,,,9% superannuation,13/03/2025,,Wellington
Point of Care Testing Coordinator – Laboratory,Awanui Group,"Use your laboratory skills in a clinical setting with our part-time, fixed-term position as a Point of Care Testing (POCT) coordinator.",https://www.seek.co.nz/job/82702500?type=standard&ref=search-standalone&origin=cardTitle#sol=88d3184fd30c9c5514df733b3f8cfb5ca04b6b38,14d ago,,,,,Fixed Term until December 2025,13/03/2025,,Wellington
