title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName
Senior Software Engineer,Tauranga City Council,Join a diverse fun team and be our Senior responsible for the continuous improvement of code development practices within Council,https://www.seek.co.nz/job/82674510?type=standard&ref=search-standalone&origin=cardTitle#sol=15582524120c5f0e5b2b37353ee106b8bbe38182,2d ago,,,,,,13/03/2025,,Bay-of-Plenty
RF and Network System Integration Engineer,Syos Aerospace Limited,"We are seeking a talented RF & Network System Integration Engineer, responsible for the end-to-end integration & testing of RF and network systems.",https://www.seek.co.nz/job/82513742?type=standard&ref=search-standalone&origin=cardTitle#sol=72737e00ba8fcbc9ab96989de82234487980030e,9d ago,,,,,,13/03/2025,,Bay-of-Plenty
Data Architect,Te Tāwharau o Te Whakatōhea,Design and build cutting-edge architecture to unlock the power of data to drive transformative change in a dynamic Māori organisation. APPLY NOW!,https://www.seek.co.nz/job/82429874?type=standard&ref=search-standalone&origin=cardTitle#sol=3735bc464d439c0e027565c2d42429346f617f7e,13d ago,,,,,,13/03/2025,,Bay-of-Plenty
General Manager - Pullman Rotorua,Accor Hotels NZ,"Pullman Rotorua, a 5-star hotel in one of New Zealand’s most iconic destinations, is looking for a visionary General Manager to lead our team!",https://www.seek.co.nz/job/82421046?type=standard&ref=search-standalone&origin=cardTitle#sol=f0537f6c9ba0ae9fc846493d2a2e9b6b8ff100e2,13d ago,,,,,,13/03/2025,,Bay-of-Plenty
Business Analyst,Techspace Consulting Limited,"Seeking a BA with 1-3 years' experience to gain hands-on exposure in a fast-paced, industry-leading organization",https://www.seek.co.nz/job/82223924?type=standard&ref=search-standalone&origin=cardTitle#sol=a65696aa8eedb812aca4c51a5acacd839e4ef3d5,21d ago,,,,,$Dependent on experience and background.,13/03/2025,,Bay-of-Plenty
Village Manager,Omokoroa Country Club,"We are seeking a Village Manager to lead our community, ensuring our residents always receive the highest standard of care, comfort, and lifestyle.",https://www.seek.co.nz/job/82668043?type=standard&ref=search-standalone&origin=cardTitle#sol=66c3ff2e3d3adf107558c28123946583e1df4db9,2d ago,,,,,Flexible working options + a 9-day fortnight,13/03/2025,,Bay-of-Plenty
Media and Commmunications Co-ordinator,Te Puna Ora o Mataatua,Are you passionate about working in a dynamic environment that promotes innovation? Do you have a flair for creativity ? We want to hear from you!,https://www.seek.co.nz/job/82333385?type=standard&ref=search-standalone&origin=cardTitle#sol=07704a0d7c37387338c6d4117845ca904449bf08,16d ago,,,,,$110 - $130K,13/03/2025,,Bay-of-Plenty
Quality Assurance & Technical Manager,Montana Group,"Lead a talented small team, drive innovation, improve processes, and help shape the future of our pie production.",https://www.seek.co.nz/job/82145231?type=standard&ref=search-standalone&origin=cardTitle#sol=9ae9c7b414f689abe0a0549eb99cb32bab100d82,23d ago,,,,,"$60,000 – $75,000 per year",13/03/2025,,Bay-of-Plenty
Embedded Software Engineer - Aerospace,Syos Aerospace Limited,"Join us at Syos to be part of a rapidly expanding, innovative company at the forefront of the autonomous vehicle revolution.",https://www.seek.co.nz/job/82624944?type=standard&ref=search-standalone&origin=cardTitle#sol=975eb38e111c97d553ee96f58132854ce0c4667d,6d ago,,,,,"$90,000 – $120,000 per year",13/03/2025,,Bay-of-Plenty
Senior Geospatial Information Systems Officer,Personnel Resources,Our client is looking for a passionate Senior Geospatial Information Systems Officer to join their team!,https://www.seek.co.nz/job/82740042?type=standard&ref=search-standalone&origin=cardTitle#sol=452f21c80d18c1efb15fb924dbb9d44c85f25bef,16h ago,,,,,,13/03/2025,,Bay-of-Plenty
