title,company,description,link,listedOn
"Truck Driver and Machine Operators","OneStaff Palmerston North","We have vacancies for Machine Operators and Class 2/4 Drivers based in Whanganui in the concrete team!","https://www.seek.co.nz/job/71186582?type=promoted&ref=search-standalone#sol=9a7c7af0ecf1c213b8826715eabc6eaa51fd6b86","2023-11-15T07:30:09.258Z"
"Manager, Community and Whānau Wellbeing - Mid-Central/Whanganui - NPHS","Te Whatu Ora - National Office","We have a permanent, full-time opportunity available to join our regional team as Manager, Community and Whānau Wellbeing - Mid-Central/Whanganui","https://www.seek.co.nz/job/71721376?type=standout&ref=search-standalone#sol=bed1eab49b27f783a09d20a208991dd81e37dd88","2023-11-23T07:30:09.258Z"
"Contract Administrator - Whanganui","Veolia","An exciting opportunity is presently available for a Contract Administrator to support our team based at our South Taranaki Contract.","https://www.seek.co.nz/job/71528898?type=standout&ref=search-standalone#sol=3e58bf96baa0cde8006f72cce3a09166df5ed16f","2023-11-20T07:30:09.258Z"
"MP Support Advisor for Carl Bates, MP","Parliamentary Service","Work at the heart of your community, in the office of Carl Bates, MP.","https://www.seek.co.nz/job/71728947?type=standout&ref=search-standalone#sol=3ee3ac61d3f0f4c3438da69c76971868e9e97266","2023-11-20T07:30:09.258Z"
"Team Leader Family Harm Prevention Programmes","Jigsaw Whanganui","Join an organisation where you are encouraged to bring your authentic self to work in this leadership role.","https://www.seek.co.nz/job/71627953?type=standout&ref=search-standalone#sol=1fdb738cb1b786f6c30865c320c9da6aaeb42ec6","2023-11-16T07:30:09.258Z"
"Housekeeper - Casual","Ryman Healthcare","Are you a warm and caring person who loves to help others? Jane Winstone Retirement Village in Whanganui has an opportunity for you!","https://www.seek.co.nz/job/71631948?type=standout&ref=search-standalone#sol=25c999785aac925c8ddea1f8274eec4593d76c25","2023-11-23T07:30:09.258Z"
"Payroll Administrator","NetYourJob","Wight Aluminium are seeking a Payroll Administrator to join their team. Family owned business with training, support and progression opportunities.","https://www.seek.co.nz/job/71559273?type=standout&ref=search-standalone#sol=c9b628caca4c83543dcb9418ba5b42bef6602c8c","2023-11-13T07:30:09.258Z"
"Social Worker","Oranga Tamariki - Ministry for Children","2x Fulltime, permanent positions available! Position will be based at our Whangnui Site We're offering a competitive salary starting from $78,840 to $","https://www.seek.co.nz/job/71719524?type=standout&ref=search-standalone#sol=bc94e8b4356944ade8d6b44e4594a81fbb4eaaeb","2023-11-13T07:30:09.258Z"
"Support Worker - After School Hours","HealthCare NZ","You will be part of a team who will provide a safe environment where people can develop confidence and new skills, build friendships with peers.","https://www.seek.co.nz/job/71467554?type=standout&ref=search-standalone#sol=5547a77af04db6737107e58def38731b93895001","2023-11-15T07:30:09.258Z"
"Operations Supervisor","Veolia","We currently have a vacancy for a Whanganui based supervisor to join our awesome team","https://www.seek.co.nz/job/71462753?type=standout&ref=search-standalone#sol=ad474e4c151efe108719df2cf2bb6bb4c6c17e1f","2023-11-20T07:30:09.258Z"
"Delivery Driver","REUTERS CONSTRUCTION LIMITED","Part time delivery driver required with immediate start.","https://www.seek.co.nz/job/71523460?type=standard&ref=search-standalone#sol=bf1c98d380f47bca6f2ffd4ecae225859dcc4bb4","2023-11-09T07:30:09.258Z"
"Village Support Maintenance - Part Time","Ryman Healthcare","Are you a handyperson that loves to assist others? Jane Winstone Retirement Village in Whanganui has an opportunity for you!","https://www.seek.co.nz/job/71630843?type=standout&ref=search-standalone#sol=d18dcbeae6a63424b27ea396a533d2d2a5636446","2023-11-15T07:30:09.258Z"
"Call Centre Operator","Randstad - Business Support","Call Centre role, Whanganui Central","https://www.seek.co.nz/job/71391218?type=standard&ref=search-standalone#sol=d5eecb533c059ca79c17968df164a43a4852b452","2023-11-09T07:30:09.258Z"
"Casual Kitchen Assistant","Summerset","Passionate about food? Keen to learn new skills? Join our supportive and friendly kitchen team at Summerset Wanganui as a Casual Kitchen Hand.","https://www.seek.co.nz/job/71527197?type=standout&ref=search-standalone#sol=993f6f4a185375b25289ad513c020b341072b6df","2023-11-24T07:30:09.258Z"
"Teacher Aide-Fixed Term","Arahunga Specialist School","We are looking for Teacher Aide's who is passionate about making a difference for learners who have learning challenges and complex needs.","https://www.seek.co.nz/job/71385890?type=standard&ref=search-standalone#sol=b604ef0cad9c8f5797bc9111bc8f6fe080e849f3","2023-11-21T07:30:09.258Z"
"Emergency Management Lead (District) - Whanganui","Te Whatu Ora - National Office","The purpose of this role is to lead the Emergency Management and response function for the district.","https://www.seek.co.nz/job/71746056?type=standout&ref=search-standalone#sol=e99bff89d74ecc0e4d6beec6658f28efb62a880b","2023-11-20T07:30:09.258Z"
"Menu Processor - Whanganui Hospital","Compass Group New Zealand","Permanent Full Time Menu Processor. Focus on ensuring patients receive the correct meals for their specific/ unique dietary requirements in hospital.","https://www.seek.co.nz/job/71663700?type=standout&ref=search-standalone#sol=a1dbe90cd48628916a9366717210ab65e5f691f8","2023-11-09T07:30:09.258Z"
"Cooks Assistant - Casual","Ryman Healthcare","Are you looking for a rewarding role with lots of opportunity for growth? Jane Winstone Retirement Village in Whanganui has an opportunity for you!","https://www.seek.co.nz/job/71633971?type=standout&ref=search-standalone#sol=57f0869262fda4767f084e338ec6359236a5dd0b","2023-11-23T07:30:09.258Z"
"Operations Manager","scalelogic","Be our Operational Dynamo! Join as the Operations Manager, where your work shapes our success daily. Make a difference and own your role!","https://www.seek.co.nz/job/71393002?type=standard&ref=search-standalone#sol=30e66dbf9224340210a9521802e4df78f3463790","2023-10-30T07:30:09.258Z"
"Director HR Operations - Whanganui, Mid-Central - People &amp; Communications","Te Whatu Ora - National Office","This is mahi that will improve the health and well-being of everyone in Aotearoa, and we've got an opportunity for you to be part of it&#8230;","https://www.seek.co.nz/job/71721438?type=standout&ref=search-standalone#sol=85a7cff5e3e9ae9908cf2c74e1cd9c66a04548b3",
"Chiropractic Assistant/ Receptionist",,"We are looking for a friendly, and motivated Chiropractic Assistant/ Receptionist to join our team","https://www.seek.co.nz/job/71115051?type=standard&ref=search-standalone#sol=8749857c659d341322af0ad35635a90d156677eb",
"Optical Assistant","Wanganui Eyecare","Take on a meaningful role as an Optical Assistant, working as part of our friendly team to provide exceptional customer service!","https://www.seek.co.nz/job/71682784?type=promoted&ref=search-standalone#sol=7fc52a4132bab4eef607162e67e4f3b1aeb43f39","2023-11-24T07:30:13.974Z"
"Team Leader Family Harm Prevention Programmes","Jigsaw Whanganui","Join an organisation where you are encouraged to bring your authentic self to work in this leadership role.","https://www.seek.co.nz/job/71627953?type=promoted&ref=search-standalone#sol=2ad274a55d530e87e9005a40abbdab95c1c8b619","2023-11-20T07:30:13.974Z"
"Radiologist","Pacific Radiology","Newly created branch with the latest hi-tech imaging machines, highly competitive remuneration package and providing a service to the community","https://www.seek.co.nz/job/71744000?type=standout&ref=search-standalone#sol=60356ce139322b85616cd44644bc1986dbf71382","2023-11-13T07:30:13.974Z"
"ISP Service Technician","DOWNER NZ","Join the Downer Telco team - you can be based either in Palmy or Whanganui!","https://www.seek.co.nz/job/71633713?type=standout&ref=search-standalone#sol=8cbb26e2bde0317250f3b14b9e1a98a4ae665404","2023-11-13T07:30:13.974Z"
"Graphic Designer in Marketing","Delfast","An exciting oppotunity to broaden your marketing experience and work with a well-respected family business.","https://www.seek.co.nz/job/71468698?type=standout&ref=search-standalone#sol=d9e54fa9a8557448569b514e94103eb2d5f3c9db","2023-11-10T07:30:13.974Z"
"Area Operations Manager | Whanganui / Ruapehu","Hato Hone St John","Drive operational excellence within the beautiful Whanganui, ensuring teams are engaged, professional, & developing as leaders in the organisation.","https://www.seek.co.nz/job/71463102?type=standout&ref=search-standalone#sol=3adfbace067543256f79d6cd7f44d7cd602e53bc","2023-11-17T07:30:13.974Z"
"Alliance Operations Managers","DOWNER NZ","Our Whanganui are looking for an Alliance Operations Manager to join their team!","https://www.seek.co.nz/job/71424113?type=standout&ref=search-standalone#sol=86b664ebf3a246fb98a3de812ea3c0133ccd44a2","2023-11-13T07:30:13.974Z"
"Counsellor","Cullinane College","Seeking a Counsellor who wants to make a difference to the youth of Cullinane College","https://www.seek.co.nz/job/71589377?type=standard&ref=search-standalone#sol=9aac522cf7e0bb8fc188c3f9bfeec522ac40db42","2023-11-10T07:30:13.974Z"
"Stockyard Team Members","Affco NZ","For more than a century AFFCO has been supplying quality grass fed meat products to New Zealanders and around the world. Come and join us!","https://www.seek.co.nz/job/71463105?type=standout&ref=search-standalone#sol=84f1b1a0b2575b2c06b6088d037e4e4412a4fae1","2023-11-20T07:30:13.974Z"
"Scheduling, Inventory and Logistics Specialist","PN Personnel","Fuel production excellence as a Logistics Maestro! Balance schedules, optimize inventory, and orchestrate seamless logistics.","https://www.seek.co.nz/job/71426071?type=standout&ref=search-standalone#sol=fd1b08c88bc250e8cf56f15fa4ab74088a9c4255","2023-11-23T07:30:13.974Z"
"Slaughter Supervisor","Affco NZ","We are on the hunt for an experienced supervisor to oversee our slaughter board at AFFCO Imlay.","https://www.seek.co.nz/job/71627475?type=standout&ref=search-standalone#sol=204ee245b2b04a5939b5e5d5c73ae947aba2ca4f","2023-11-09T07:30:13.974Z"
"National Technical Dealer Support","Automotive Employment (NZ) Ltd","Providing dealer training and technical support to the wider dealer network, reporting to Suzuki NZ as well as Suzuki Motor Corporation","https://www.seek.co.nz/job/71723215?type=standout&ref=search-standalone#sol=c6ea0bd2a3a26a6b80e25adac3bd73f6762a5b89","2023-11-08T07:30:13.975Z"
"Support Worker","Wise Group","Empowering whai ora for independent, fulfilling lives through compassionate care in our mobile services. Achieve well-being and recovery goals","https://www.seek.co.nz/job/71391157?type=standout&ref=search-standalone#sol=6af3de7d60125dd9d269ec97c01e425bd23e3e8f","2023-11-23T07:30:13.975Z"
"Business Manager","Robyn Young HR","Bring your financial expertise to the world of research and academia.","https://www.seek.co.nz/job/71356354?type=standout&ref=search-standalone#sol=3dd42ed9212f9833bbd0312ba5e3449235d4fd88","2023-11-07T07:30:13.975Z"
"Team Leader Technical Training","Whanganui District Council","If you have a passion for sharing your experience and knowledge across a diverse skill set from junior to senior officer, Apply Now!","https://www.seek.co.nz/job/71718065?type=standout&ref=search-standalone#sol=8a9fd23846a45a177a4dc61923943d7f73f2ad3f","2023-11-06T07:30:13.975Z"
"Support Worker - Whanganui PLC (full time)","IHC","Fantastic opportunity to earn, learn and gain formal health sector qualifications","https://www.seek.co.nz/job/71324825?type=standout&ref=search-standalone#sol=0319e6555f7256da612319939ae5dbecb808a4f6","2023-11-14T07:30:13.975Z"
"Insurance Broker","Wanganui Insurance Brokers","Join us, a successful, locally owned insurance brokerage. Competitive pay, support, and meaningful client impact. Your career starts here!","https://www.seek.co.nz/job/71311346?type=standout&ref=search-standalone#sol=55eb112fdfec20b633e3097e0183d61460016a43","2023-11-07T07:30:13.975Z"
"Caregiver - Part Time","Ryman Healthcare","Provide person-centered care that consistently exceeds expectations and make a positive impact on the lives of our residents","https://www.seek.co.nz/job/71485929?type=standout&ref=search-standalone#sol=85fa10b736f477eb680364cbace065da603ce541","2023-11-07T07:30:13.975Z"
"Support Worker","Wise Group","Empower lives: Assist 8 tangata whai ora in housing and recovery, fostering independence and aspirations on their recovery path.","https://www.seek.co.nz/job/71325251?type=standout&ref=search-standalone#sol=dd13109843c2104fe3a375d4f76b56a5cd86673f","2023-11-11T07:30:13.975Z"
"Casual Support Worker","Wise Group","Start your mental health career with flexible shifts and diverse support work. Perfect for those seeking a versatile and rewarding path.","https://www.seek.co.nz/job/71322543?type=standout&ref=search-standalone#sol=47917702b7b35bb2f7604b83f7739b8df581d64b","2023-11-13T07:30:13.975Z"
"Assistant Manager at F45 Training (Group Fitness Trainer)","F45 Whanganui","LOVE WHAT YOU DO EVERYDAY AND GET PAID FOR IT!!","https://www.seek.co.nz/job/71446912?type=standout&ref=search-standalone#sol=ac74cb4d72c08fd021c25403f2cadb4bfc0487b2",
"Night Shift Industrial Cleaner","Affco NZ","This role is focused on post-operation cleaning processes throughout the site to ensure compliance and all necessary standards are maintained.","https://www.seek.co.nz/job/71463088?type=standout&ref=search-standalone#sol=2f9a0bf8ad275a5809d3a4cbbb7e502a2174e722",
"Nightshift - Deep Cleaning Operator","Farmland Foods","Seeking Deep Cleaners. Well-established company, great culture and on-going benefits.","https://www.seek.co.nz/job/71213149?type=promoted&ref=search-standalone#sol=36396daa0d19ec4dbfcdac87d5def709c24c4c96","2023-11-08T07:30:18.702Z"
"Range of Auditor Positions for Manawatu/Taupo/New Plymouth//Whanganui Office","Silks Audit Chartered Accountants","Audit Graduate to Experienced Auditors","https://www.seek.co.nz/job/71245044?type=promoted&ref=search-standalone#sol=844cd86452ab1bdc1da9803b25c6ccb591ce1387","2023-11-06T07:30:18.702Z"
"Area Sales Representative- Full Time","Edwards &amp; Hardy Roofing","Earn 100k in your first years selling.","https://www.seek.co.nz/job/71365236?type=standard&ref=search-standalone#sol=4a35065591fd7af8fb25a805cb2b46e43ace8fcd","2023-11-03T07:30:18.702Z"
"Whanganui Base Superviser","Air Chathams Limited","We are seeking a keen individual to take the role as Base Supervisor for Whanganui Airport.","https://www.seek.co.nz/job/71296382?type=standout&ref=search-standalone#sol=3de4335a2eb47baad58a95b602ebdb9baf6c7b11","2023-11-23T07:30:18.702Z"
"Corrections Officers - Whanganui Prison","Department of Corrections","We are looking for a diverse range of candidates, from different cultures with varied backgrounds and experience","https://www.seek.co.nz/job/71247421?type=standout&ref=search-standalone#sol=104a3b40144782f0809872f5711003c5b00c62ce","2023-11-13T07:30:18.702Z"
"Asset Engineering Technician","DOWNER NZ","The Asset Engineering Technician is a key role, based from our Whanganui Depot, providing support to the Asset Engineer and wider Asset team","https://www.seek.co.nz/job/71728803?type=standout&ref=search-standalone#sol=5dbe3193a2002602ed8636c68808c24e5f2aaf26","2023-11-06T07:30:18.702Z"
"General Hand - Asphalt Worker","DOWNER NZ","We are looking for a General Hand to join our Asphalt crew","https://www.seek.co.nz/job/71459636?type=standout&ref=search-standalone#sol=3b61d783b8f19eebf664718e54834936f926c694","2023-11-01T07:30:18.702Z"
"Process Workers - Imlay","Affco NZ","We are looking for people to join our teams at our modern processing facility in Whanganui - Come and work with great people.","https://www.seek.co.nz/job/71293006?type=standout&ref=search-standalone#sol=2d76bd6be3ecb2dcc6af7579c7a9ca0ccf45b20a","2023-11-01T07:30:18.702Z"
"Community Centre Manager","Netball Whanganui Inc.","Lead and guide staff and volunteers in the development, implementation and delivery of quality Netball in Whanganui.","https://www.seek.co.nz/job/71190170?type=standard&ref=search-standalone#sol=e61017705cf81d622f5f19f6b696329c98358d8f","2023-11-24T07:30:18.702Z"
"Keyholder - Superstore","Ngahuia Group Limited","You've a passion for retail fashion & creating a customer centric shopping environment. Joining us is an investment in your retail leadership career.","https://www.seek.co.nz/job/71179555?type=standout&ref=search-standalone#sol=44a7877a21d912bf4e019d3340f1735f1ef93082","2023-11-14T07:30:18.702Z"
"Mental Health Casual Enrolled Nurse &amp; Community Support Workers","Whanganui Community Living Trust","Be a part of a dynamic and exciting team within Community Mental Health & Disabilities Support Service.","https://www.seek.co.nz/job/71750844?type=standout&ref=search-standalone#sol=d60c38ed21f686109fbc9a60fe5c30755f413ff5","2023-11-13T07:30:18.702Z"
"Kaitohutohu - Central - Māori Public Health - NPHS","Te Whatu Ora - National Office","Contribute to pae ora for iwi and Māori communities in this Kaitohutohu role","https://www.seek.co.nz/job/71487714?type=standout&ref=search-standalone#sol=07cc72e080b0ecea3470be7d7f08d9ff2a9294fc","2023-11-23T07:30:18.702Z"
"Social Worker","Wise Group","Embrace our principles and practices, aid the mental health of young people and families, and boost confidence and resilience.","https://www.seek.co.nz/job/71460300?type=standout&ref=search-standalone#sol=462752030d4e9de76eb44691b395d81404dbc857","2023-11-07T07:30:18.702Z"
"Driver Operator - Bitumen Sprayer","DOWNER NZ","We are looking for an experienced Bitumen Sprayer Operator to assist with upcoming projects across Whanganui.","https://www.seek.co.nz/job/71719159?type=standout&ref=search-standalone#sol=6a46c9fca6c6752a5957776e04bc0fdd906dbc13","2023-11-09T07:30:18.702Z"
"Technical Services Manager - Electricity Distribution","DOWNER NZ","Bring your Technical expertise in the Electricity industry to this exciting role.","https://www.seek.co.nz/job/71327237?type=standout&ref=search-standalone#sol=2f5e545b3798e8935e9daf2848e9fc256a77e9da","2023-11-15T07:30:18.702Z"
"STMS","DOWNER NZ","We are looking for an experienced STMS to join our Whanganui team!","https://www.seek.co.nz/job/71399554?type=standout&ref=search-standalone#sol=2c6b085dac0c9a7c88a3f76fccc0002b16729b86","2023-11-02T07:30:18.702Z"
