title,company,description,link,listedOn
"Packhall Storeperson","Nestlé NZ Ltd","We are looking for a Packhall Storeperson to join our Distribution team.","https://www.seek.co.nz/job/71563208?type=standout&ref=search-standalone#sol=b985cff92a1e37971ff3da91389052e4be857be5","2023-10-31T07:30:23.834Z"
"Project Manager / Senior Project Manager (civil/three waters)","Rangitikei District Council","In this specialist role, you will be responsible for providing engineering expertise with a primary focus on the delivery of civil projects.","https://www.seek.co.nz/job/71722786?type=standout&ref=search-standalone#sol=fc2a27c093ef9d0b28a84827779529e9c21b0ec8","2023-10-30T07:30:23.834Z"
"Automobile Sales Executive","Suzuki New Zealand Limited","The opportunity has arisen to join Suzuki New Zealand Limited in our busy Automobile Sales and Marketing Department as an Automobile Sales Executive.","https://www.seek.co.nz/job/71140624?type=standard&ref=search-standalone#sol=9f12a508a9ad32beaab090362463ea8f51eefba1","2023-11-10T07:30:23.834Z"
"Director of Netball - 2024","Whanganui Collegiate School","Whanganui Collegiate School is looking to appoint an experienced and dynamic Netball coach to the post of Director of Netball from January 2024.","https://www.seek.co.nz/job/71112459?type=standout&ref=search-standalone#sol=7b7a64a282a192b77cf02e69ed03b98a571b4faa","2023-11-06T07:30:23.834Z"
"Part Time ESOL Teacher","English Language Partners NZ","Are you a qualified teacher in NZ? Want a fun, varied role where the hours fly by? English teaching role supporting migrants available now","https://www.seek.co.nz/job/71422094?type=standout&ref=search-standalone#sol=1f9a7cd6c1a45a4a8375dec6b292434004155039","2023-11-07T07:30:23.834Z"
"Personal Trainer","Jetts Fitness","Fitness is your passion and you want to be your own boss? Join the Jetts NZ family as a PT contractor and unlock your earning potential!","https://www.seek.co.nz/job/71293856?type=standout&ref=search-standalone#sol=f711ae99e40b0b99619f6eb308f7edffbca0c2b0","2023-11-10T07:30:23.834Z"
"Fibreglass Fabricator/Experienced Operator","Pump and Valve Specialties Ltd","Fibreglass Fabricator/operator located in Wanganui a variety of FRP laminating and moulding tasks.","https://www.seek.co.nz/job/71323924?type=standard&ref=search-standalone#sol=2fc2f09f8e3a5b694644d0359369f90cb3da9442","2023-10-30T07:30:23.834Z"
"Hostel Cook - Part Time","Whanganui Girls' College Ad Astra Hostel","Dedicated, passionate team player to join our family environment","https://www.seek.co.nz/job/71420528?type=standard&ref=search-standalone#sol=135ad762a3777a0d395fb6f4b3d955e2e8e3c295","2023-11-13T07:30:23.834Z"
"Gardener - Part Time","Ryman Healthcare","Are you a driven and experienced Gardener/Landscaper looking for a rewarding opportunity? Jane Winstone Retirement Village has an opportunity!","https://www.seek.co.nz/job/71114721?type=standout&ref=search-standalone#sol=80f38a39fd2bfe8ba1add50529f31c083714b457","2023-11-02T07:30:23.834Z"
"Customer Experience Officer","Rangitikei District Council","Are you a Customer Experience Officer extraordinaire with excellent interpersonal verbal and written communication skills who puts the customer first","https://www.seek.co.nz/job/71461892?type=standout&ref=search-standalone#sol=8102cee718e0e24f99795a1bfe9167826ffb0f67","2023-11-03T07:30:23.834Z"
"Driver Operator (jetting unit)","DOWNER NZ","We are looking for a Driver Operator to join our team in Whanganui!","https://www.seek.co.nz/job/71221358?type=standout&ref=search-standalone#sol=27ad2d6426aea1669da5d3c16bda86ab4f4b35fd","2023-11-01T07:30:23.835Z"
"Senior Caregiver - Part Time","Ryman Healthcare","Are you a kind and supportive person who loves to delight and care for others? Jane Winstone Retirement Village has an opportunity for you!","https://www.seek.co.nz/job/71255634?type=standout&ref=search-standalone#sol=bc394ed8d01929918d5cf03babbbf92978a14e38","2023-11-13T07:30:23.835Z"
"Engineering Opportunities - Whanganui","WSP","WSP is a collaborative team of global experts who aspire every day to shape a better tomorrow.","https://www.seek.co.nz/job/71177894?type=standout&ref=search-standalone#sol=3161a99642979cee50e6c168b23fbb1b890a8b9d","2023-11-20T07:30:23.835Z"
"Driver Operator (Surfacing)","DOWNER NZ","We are looking for an experienced or up-and-coming Driver Operator in Whanganui","https://www.seek.co.nz/job/71459634?type=standout&ref=search-standalone#sol=a83a30d0072ee77e4e966cc31e837f361d1c0e21","2023-11-23T07:30:23.835Z"
"Chef - Casual","Ryman Healthcare","Being a Chef is different at Ryman - you'll have more respect, more job-satisfaction and more stability. Sound interesting? Then let's have a chat.","https://www.seek.co.nz/job/71632429?type=standout&ref=search-standalone#sol=0fe7167061d0de9648587560e7e6b6b1e41fa1f8","2023-11-01T07:30:23.835Z"
"Customer Service Representative (Part Time) - bp Connect Bulls","BP Oil New Zealand Limited","Become a permanent member of our friendly and vibrant team at bp Connect Bulls!","https://www.seek.co.nz/job/71725516?type=standout&ref=search-standalone#sol=a81ca27dc5cde6144ecfc7d33799b13f32138239",
"Line Mechanic / Trainee Line Mechanic","DOWNER NZ","Excellent opportunity to take the next step in your Electricity career in Whanganui.","https://www.seek.co.nz/job/71188395?type=standout&ref=search-standalone#sol=e584690c77504f24e5cc10cd63a9620e2da7c9c0",
"Practice Administrator/PA","Nga Tawa Diocesan School","Looking for an experienced Practice Administrator/PA with suitable qualification for an expanding General Practice. Work with a friendly team.","https://www.seek.co.nz/job/71524786?type=promoted&ref=search-standalone#sol=01186fb13f3899e52618194f949ea11eaa57566b","2023-10-31T07:30:28.587Z"
"Senior Boarding Manager","Suzuki New Zealand Limited","We are seeking a dynamic and committed Boarding Manager to manage and oversee our year 11-13 boarding environment.","https://www.seek.co.nz/job/71205962?type=promoted&ref=search-standalone#sol=9fce40344a152e7cdeabaeb8093d7d9f2f702917","2023-11-22T07:30:28.587Z"
"Automobile Technical Service Position","BP Oil New Zealand Limited","Suzuki New Zealand Ltd is the National Distributor for Suzuki Automobiles and is based in Whanganui.","https://www.seek.co.nz/job/71134542?type=standard&ref=search-standalone#sol=09c572f8be2ebcc28d067848027e4d6c202f7ca5","2023-11-23T07:30:28.587Z"
"Customer Service Representative (Overnights) - bp Connect Bulls","Ryman Healthcare","Become a permanent member of our friendly and vibrant team at bp Connect Bulls!","https://www.seek.co.nz/job/71700815?type=standout&ref=search-standalone#sol=bdbf7ecf07728b1515853a57b25f9299cca4afc0","2023-11-23T07:30:28.587Z"
"Registered Nurse - Part Time","Ryman Healthcare","Nursing Pioneers wanted at Jane Winstone Retirement Village. Use your kindness and experience to deliver nursing and care to our residents!","https://www.seek.co.nz/job/71721932?type=standout&ref=search-standalone#sol=ce28782ded235d640a57f33571f693412253f95c","2023-11-10T07:30:28.587Z"
"Registered Nurse - Coverpool","Te Oranganui","Nursing Pioneers wanted! Experience a great variety of shifts across all units within the village to advance your nursing expertise","https://www.seek.co.nz/job/71721590?type=standout&ref=search-standalone#sol=46fd52418ffb811f8dc92f80e9f7d8a68895f65d","2023-11-01T07:30:28.587Z"
"Registered Mental Health Nurse","WSP","This role oversees wellness journey of tāngata whai ora and ensure the service nurtures the values of Tikanga Māori as well as being clinically sound.","https://www.seek.co.nz/job/71422920?type=standard&ref=search-standalone#sol=9a8dd2dbcd7c9c75fcfb7565388accf8c039fd7d","2023-11-01T07:30:28.587Z"
"Bridge Engineer","AWF","Fantastic bridge asset management and design opportunity in Whanganui.","https://www.seek.co.nz/job/71177847?type=standout&ref=search-standalone#sol=616350b8aa8fe03acd5f712d7dc8fe5f076224d2","2023-11-06T07:30:28.587Z"
"Skilled Civil Workers","Nga Tawa Diocesan School","Civil Construction opportunities available now!","https://www.seek.co.nz/job/71173888?type=standout&ref=search-standalone#sol=91e954f7368daa9595ad2d775d76a34474caf8ec","2023-11-01T07:30:28.587Z"
"Boarding Staff","OneStaff Palmerston North","We have a vacancy in our boarding team for boarding staff for day and sleepover shifts.","https://www.seek.co.nz/job/71294322?type=standard&ref=search-standalone#sol=6416d920a93760570eab8bcf6f2ad15a2f8782b0","2023-11-09T07:30:28.587Z"
"Truck Driver and Machine Operators","Enviro NZ","We have vacancies for Machine Operators and Class 2/4 Drivers based in Whanganui in the concrete team!","https://www.seek.co.nz/job/71186582?type=standout&ref=search-standalone#sol=4b4e3a218d37d278014fea8210a8a605066b90f3","2023-11-15T07:30:28.587Z"
"Points Person - Bonny Glen","RobLawMax Recruitment","Our Bonny Glen Landfill team is looking for a new Points Person!","https://www.seek.co.nz/job/71385588?type=standout&ref=search-standalone#sol=74d676e7f3dca0d4af45d095fd1cef6da06ccf97","2023-11-01T07:30:28.587Z"
"Quality Manager","Te Pae Hauora o Ruahine o Tararua - MidCentral","Ensure all products designed & manufactured, comply with applicable specifications, standards & legislation for the markets they are supplied into.","https://www.seek.co.nz/job/71526330?type=standout&ref=search-standalone#sol=5cdbe9f4de867176457ea8f3203dedc6d89d7df3","2023-11-06T07:30:28.587Z"
"Clinical Engineering Technician","PEC Limited","Looking for a candidate who can undertake maintenance, repairs, calibration & electrical safety testing on medical devices.","https://www.seek.co.nz/job/71173967?type=standout&ref=search-standalone#sol=3ce089281ff6ee5d97bd735c8b1da3dbf7432f14","2023-11-07T07:30:28.587Z"
"SMT Operator - Electronics Manufacturing","Wanganui Collision Centre","PEC, a nationally recognised hi-tech innovator and manufacturer are seeking a SMT Operator to join our team.","https://www.seek.co.nz/job/71298741?type=standout&ref=search-standalone#sol=b6bc4c4d3bb16136ad206c0b34147959207dd8a6","2023-11-17T07:30:28.587Z"
"Panel Beater","Whanganui Hair Limited","Unleash your panel beating expertise & transform damaged vehicles into masterpieces. Join our team & make a lasting impact in the automotive industry.","https://www.seek.co.nz/job/71337474?type=standard&ref=search-standalone#sol=f91904f2873fb8a68190843e8e54e3a0eb4462e9","2023-11-01T07:30:28.588Z"
"Senior Hairdresser","Te Pae Hauora o Ruahine o Tararua - MidCentral","Calling all hairdressers. JUST CUTS™ Whanganui currently have lifestyle friendly positions available with great pay and a great team.","https://www.seek.co.nz/job/71585044?type=standout&ref=search-standalone#sol=5e5fb68f7c9064d7bf81df2f29d6a518204a7e86","2023-11-06T07:30:28.588Z"
"Clinical Engineering Technologist","Affco NZ","The successful candidate will undertake maintenance, repairs, calibrations and electrical safety testing on medical devices.","https://www.seek.co.nz/job/71174000?type=standout&ref=search-standalone#sol=aa7497a4ccbb1d97fa56b52f04c4767d5052dd3d","2023-11-06T07:30:28.588Z"
"Maintenance Fitter","Affco NZ","AFFCO Imlay is seeking an experienced and motivated Fitter to join our trades team. We also provide opportunities for apprentices.","https://www.seek.co.nz/job/71293055?type=standout&ref=search-standalone#sol=6f44ef9d1cd79e0641ea6a58944c20a92c8a7b1e","2023-11-20T07:30:28.588Z"
"Maintenance Fitter","Habit  Health","AFFCO Castlecliff is seeking an experienced and motivated Fitter. If this sounds like you, we would love to hear from you!","https://www.seek.co.nz/job/71293068?type=standout&ref=search-standalone#sol=97e533a8f3f9c9c62e988fe0bf1f3bd124913dd5","2023-11-09T07:30:28.588Z"
"Physiotherapist","Enviro NZ","Make your mark in a people focused organisation that prioritises your growth and collaborates with your skills.","https://www.seek.co.nz/job/71628377?type=standout&ref=search-standalone#sol=4748333d324fc272d933b1985543a8d5a3dcb50c",
"Labourer - Bonny Glen",,"We are looking for Labourers for our team in Bonny Glen Landfill!","https://www.seek.co.nz/job/71385608?type=standout&ref=search-standalone#sol=188dc43951a41b9d35d23e304646249bf5258c38",
"Insurance Broker","Wanganui Insurance Brokers","Join us, a successful, locally owned insurance brokerage. Competitive pay, support, and meaningful client impact. Your career starts here!","https://www.seek.co.nz/job/71311346?type=promoted&ref=search-standalone#sol=8e81bcbeb354648b56777281198399cf01f28be9","2023-11-14T07:30:33.167Z"
"SMT Operator - Electronics Manufacturing","PEC Limited","PEC, a nationally recognised hi-tech innovator and manufacturer are seeking a SMT Operator to join our team.","https://www.seek.co.nz/job/71298741?type=promoted&ref=search-standalone#sol=d768bbbd2a97dfcea73c23b1130f41e8f7edc351","2023-11-14T07:30:33.167Z"
"Assistant Store Manager (Full Time) – bp Connect Bulls","BP Oil New Zealand Limited","This is your chance, as a highly driven individual and as someone who aspires to be a future leader in retail management!","https://www.seek.co.nz/job/71487902?type=standout&ref=search-standalone#sol=01e1e8a4f183320c7453326a989a8d92e98125f1","2023-11-09T07:30:33.167Z"
"Service and Parts Manager","McVerry Crawford Motor Group","Seeking a results driven team leader who is dedicated to delivering results","https://www.seek.co.nz/job/71487287?type=standard&ref=search-standalone#sol=18abe950042e301efd400e3830dcf30d5d1aaa88","2023-10-31T07:30:33.167Z"
"Salesperson - Bulls","Property Brokers","Supercharge your career growth with Property Brokers in Bulls!","https://www.seek.co.nz/job/71386104?type=standout&ref=search-standalone#sol=49cf1900a05187a52e89c94c05960143c6fb543d","2023-11-06T07:30:33.167Z"
"REGISTERED NURSE - 0.8 to Full time","Hospice Whanganui","Are you looking for meaningful and purposeful work, want to make a real difference to our community, and want to be part of an awesome team?","https://www.seek.co.nz/job/71136432?type=standout&ref=search-standalone#sol=49c7b73488a11dbf4ca120b8eb2398766ccaaf3c","2023-10-30T07:30:33.167Z"
"Operations Team Leader","Manawatu District Council","This is an ideal opportunity to join the team that manages the core water, wastewater operations and reticulation services.","https://www.seek.co.nz/job/71301476?type=standout&ref=search-standalone#sol=1d5970f091b866f327ae76812045ef24b294f1b5","2023-11-02T07:30:33.167Z"
"Production Operations Manager","Technical Recruitment Solutions","Rare opportunity to have ownership over the NZ branch of a global business – drive growth and improvements and make this role your own.","https://www.seek.co.nz/job/71076285?type=standout&ref=search-standalone#sol=384a1211af3d2c49d9dcc22bae7870e05e24d006","2023-11-02T07:30:33.167Z"
"Maintenance Electrician","Silver Fern Farms","Are you a qualified/ registered electrician looking for a new challenge and role where you can continue to grow as part of this close knit team?","https://www.seek.co.nz/job/71221894?type=standout&ref=search-standalone#sol=8d043eba7b7dab2940e1a917ff7504b1db5c277c","2023-11-13T07:30:33.167Z"
"Civil Foreman","Fulton Hogan","This role will have you responsible for leading the day-to-day activities of your crew on heavy civil projects.","https://www.seek.co.nz/job/71212283?type=standout&ref=search-standalone#sol=4f97048a3857d1d9be8a1fdf65e2212fef329b57","2023-11-02T07:30:33.167Z"
"Voc Rehab Occupational Therapist or Physio","RWR Health","Fit this job around your life - real flexibility on offer here. Work across the Manawatu but you could live in Palmerston Nth, Whanganui or inbetween","https://www.seek.co.nz/job/71468692?type=standout&ref=search-standalone#sol=436e22b03e844c5cdf4c2785e98631f2b4adfd54","2023-11-06T07:30:33.167Z"
"Nightshift - Deep Cleaning Operator","Farmland Foods","Seeking Deep Cleaners. Well-established company, great culture and on-going benefits.","https://www.seek.co.nz/job/71213149?type=standout&ref=search-standalone#sol=de68545e60a942ce5bed807dd52d7f8b6013d084","2023-11-02T07:30:33.167Z"
"Physiotherapist -Graduate Programme","Habit  Health","Kickstart your career with a company that is passionate about client care and the continual development of our employees.","https://www.seek.co.nz/job/71293675?type=standout&ref=search-standalone#sol=015af6b894cfe9e8ce1880db54a79ba7f2e61939","2023-11-03T07:30:33.167Z"
"Senior Boarding Manager","Nga Tawa Diocesan School","We are seeking a dynamic and committed Boarding Manager to manage and oversee our year 11-13 boarding environment.","https://www.seek.co.nz/job/71205962?type=standout&ref=search-standalone#sol=9ac5df74a00fdd0184b973b78433187942cd7068","2023-11-16T07:30:33.167Z"
"Physiotherapist","Habit  Health","Kickstart your career with a company that is passionate about client care and the continual development of our emoolyees.","https://www.seek.co.nz/job/71254022?type=standout&ref=search-standalone#sol=fadd9a6d00b7dab59fec4f501bce6a3e6401fa88","2023-11-06T07:30:33.167Z"
"Airframe/Engine Licensed Aircraft Maintenance Engineer","Jet Aviation","With great vision and exciting plans, it takes talented people to build our leading business and this is your opportunity to be part of that journey!","https://www.seek.co.nz/job/71555433?type=standout&ref=search-standalone#sol=e6dd0c14efa6a3445a7a63a2b212f02ce699ade2","2023-11-06T07:30:33.167Z"
"Industrial Electrician","Affco NZ","AFFCO Imlay is seeking an experienced and motivated Electrician to join our team in Whanganui.","https://www.seek.co.nz/job/71293050?type=standout&ref=search-standalone#sol=2403e64a16f02569aac4838b2272c1a1b5311e44","2023-11-06T07:30:33.167Z"
"Occupational Therapist-Graduate Program","Habit  Health","Kickstart your career with a company that is passionate about client care and the continual development of our employees.","https://www.seek.co.nz/job/71293209?type=standout&ref=search-standalone#sol=2ac9e5de647d03362f44379f80a791a77a26e18a","2023-11-01T07:30:33.167Z"
"Occupational Therapist-Graduate Programme","Habit  Health","Kickstart your career with a company that is passionate about client care and the continual development of our employees.","https://www.seek.co.nz/job/71293331?type=standout&ref=search-standalone#sol=eb99f9b4d6f604c5a9c85a20cbff75fa1fbea7f1","2023-11-03T07:30:33.167Z"
"Machine Operator - Bonny Glen","Enviro NZ","We are looking for Class 2 or above Machine Operators for our site in Bonny Glen!","https://www.seek.co.nz/job/71180676?type=standout&ref=search-standalone#sol=33cd58bb54bb92e49f9988e6616386943f257af8","2023-11-15T07:30:33.167Z"
"Zero Harm business Partner","Spotless Facility Services (NZ) Limited","Are you passionate about Health and Safety? We are looking for a Zero Harm Business Partner to join our high performing team based in Ohakea.","https://www.seek.co.nz/job/71249427?type=standout&ref=search-standalone#sol=22b6cdf9810dfbc952b1e1fa5d2e0539c136ee15",
"Cleaner Supervisor","Ventia","Contribute to the efficient and effective cleaning service delivered within the MDHB facilities","https://www.seek.co.nz/job/71526430?type=standout&ref=search-standalone#sol=5550229b1ed01fcbfc6e04e740d654d588812156",
